meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
383.0,75.67,4.11,6.67,33.0,206.0,26.33,575cfe470551415caa5505b5,76.0,1150,3,9395.0,1
3567.0,37.83,3.9,5.68,50.0,1057.0,10.33,56458aa03a698c35c9050988,38.0,21400,6,17752.0,3
100.0,7.0,4.258,2.8,50.0,6.0,3.0,57885a8c090d40723d2105e3,7.0,200,2,4595.0,1
1000.0,77.0,4.38,9.0,100.0,312.0,38.0,5885a7e767f7c84d7657d220,77.0,1000,1,27740.0,1
100.0,74.0,4.366,11.0,100.0,55.0,42.0,5778fd153a698c5c2d845ed9,74.0,100,1,6121.0,1
1000.0,35.0,4.057,10.0,50.0,130.0,33.5,58c910072be00b51c601ccee,35.0,2000,2,6715.0,1
100.0,0.0,4.041,6.0,33.0,27.0,6.0,580c7d0a8b67fa197454a2d1,0.0,300,3,4705.0,1
100.0,-16.0,3.827,7.0,100.0,18.0,6.0,5ddd1355801ecf0a803b6c3a,-16.0,100,1,75.0,1
325.0,-13.0,3.729,10.25,50.0,101.0,9.0,5de0981739adf2a3406bed18,-13.0,1300,4,288.0,2
1000.0,0.0,4.006,8.0,100.0,668.0,8.0,59a6cc4b21064f78b1bef62f,0.0,1000,1,5226.0,1
1000.0,32.0,3.942,13.0,100.0,151.0,19.0,5de7a6aa4c9c821f67c14ac3,32.0,1000,1,171.0,1
83.0,22.33,4.069,6.14,50.0,29.0,7.33,583da4b58108913e6c79a32e,22.0,500,6,2782.0,3
100.0,80.0,4.014,12.0,100.0,64.0,59.0,5acdbf7c9c15ff7191aadd30,80.0,100,1,5244.0,1
100.0,0.0,4.035,2.0,50.0,9.0,2.0,58da49c92c3a8f52a755d4a0,0.0,200,2,26951.0,1
1313.0,11.5,4.074,7.75,25.0,308.0,13.5,55f7c64b3a698c4749f3bccf,12.0,5250,4,14676.0,1
1000.0,47.0,4.264,5.86,100.0,512.0,11.0,5bbf00e6c5fdec1c0e0d401d,47.0,1000,1,904.0,1
10000.0,-9.0,3.795,12.0,100.0,1276.0,11.0,5b24b6bdd1c3601ba899f0c0,-9.0,10000,1,6158.0,1
700.0,-3.0,3.965,6.0,33.0,86.0,5.67,56c6a33fabb774437118cd63,-3.0,2100,3,7936.0,1
7333.0,-14.0,3.881,8.0,33.0,766.0,7.0,5bd29797d32ed5241007af46,-14.0,22000,3,3771.0,1
6733.0,0.67,4.002,6.15,33.0,744.0,5.67,5ab3b592c3911a095ad5dadb,1.0,20200,3,14482.0,1
75.0,0.0,4.036,4.5,50.0,3.0,4.5,5e4f6a3a29e786346774bcce,0.0,300,4,28.0,2
3000.0,81.5,4.268,9.5,50.0,985.0,61.0,58d0c52c19bf8b6b34178db0,82.0,6000,2,30225.0,1
1000.0,-14.0,3.965,8.0,50.0,373.0,7.0,5b8e776e2eb51f7a5900a88a,-14.0,2000,2,1322.0,1
100.0,74.0,3.953,8.0,100.0,34.0,30.0,5498115d653d5121ae5409c9,74.0,100,1,11030.0,1
550.0,-15.25,3.957,6.37,25.0,197.0,5.5,5952a218e81e8a4c30b5bbbc,-15.0,2200,4,9470.0,1
640.0,16.6,4.033,9.2,20.0,261.0,11.0,5aa78a0c75599a5bd049d682,17.0,3200,5,5264.0,1
100.0,20.0,3.786,8.0,50.0,6.0,10.0,5eb5076129e786048168034d,20.0,200,2,117.0,1
